ssp,model,ensemble,gwt,exceedance_year
ssp585,BCC-CSM2-MR,r1i1p1f1,1.5,2031
ssp585,BCC-CSM2-MR,ens-mean,1.5,2031
ssp585,CanESM5,r1i1p2f1,1.5,2010
ssp585,CanESM5,r2i1p2f1,1.5,2010
ssp585,CanESM5,r3i1p2f1,1.5,2011
ssp585,CanESM5,r4i1p2f1,1.5,2010
ssp585,CanESM5,r5i1p2f1,1.5,2010
ssp585,CanESM5,ens-mean,1.5,2010
ssp585,CNRM-CM6-1,r1i1p1f2,1.5,2028
ssp585,CNRM-CM6-1,r2i1p1f2,1.5,2027
ssp585,CNRM-CM6-1,r4i1p1f2,1.5,2029
ssp585,CNRM-CM6-1,r5i1p1f2,1.5,2027
ssp585,CNRM-CM6-1,ens-mean,1.5,2028
ssp585,GFDL-CM4,r1i1p1f1,1.5,2030
ssp585,GFDL-CM4,ens-mean,1.5,2030
ssp585,MIROC6,r1i1p1f1,1.5,2040
ssp585,MIROC6,r2i1p1f1,1.5,2040
ssp585,MIROC6,r3i1p1f1,1.5,2039
ssp585,MIROC6,ens-mean,1.5,2040
ssp585,UKESM1-0-LL,r1i1p1f2,1.5,2023
ssp585,UKESM1-0-LL,r2i1p1f2,1.5,2025
ssp585,UKESM1-0-LL,r3i1p1f2,1.5,2023
ssp585,UKESM1-0-LL,r4i1p1f2,1.5,2026
ssp585,UKESM1-0-LL,r8i1p1f2,1.5,2021
ssp585,UKESM1-0-LL,ens-mean,1.5,2024
ssp585,multimodel-mean,multi-ens-mean,1.5,2026
ssp126,BCC-CSM2-MR,r1i1p1f1,1.5,2041
ssp126,BCC-CSM2-MR,ens-mean,1.5,2041
ssp126,CanESM5,r1i1p2f1,1.5,2010
ssp126,CanESM5,r2i1p2f1,1.5,2010
ssp126,CanESM5,r3i1p2f1,1.5,2010
ssp126,CanESM5,r4i1p2f1,1.5,2010
ssp126,CanESM5,r5i1p2f1,1.5,2010
ssp126,CanESM5,ens-mean,1.5,2010
ssp126,CNRM-CM6-1,r1i1p1f2,1.5,2028
ssp126,CNRM-CM6-1,r2i1p1f2,1.5,2027
ssp126,CNRM-CM6-1,r4i1p1f2,1.5,2032
ssp126,CNRM-CM6-1,r5i1p1f2,1.5,2028
ssp126,CNRM-CM6-1,ens-mean,1.5,2029
ssp126,MIROC6,r1i1p1f1,1.5,2063
ssp126,MIROC6,ens-mean,1.5,2063
ssp126,UKESM1-0-LL,r1i1p1f2,1.5,2024
ssp126,UKESM1-0-LL,r2i1p1f2,1.5,2027
ssp126,UKESM1-0-LL,r3i1p1f2,1.5,2025
ssp126,UKESM1-0-LL,r4i1p1f2,1.5,2028
ssp126,UKESM1-0-LL,r8i1p1f2,1.5,2021
ssp126,UKESM1-0-LL,ens-mean,1.5,2025
ssp126,multimodel-mean,multi-ens-mean,1.5,2027
ssp119,MIROC6,r1i1p1f1,1.5,NA
ssp119,MIROC6,ens-mean,1.5,NA
ssp119,UKESM1-0-LL,r1i1p1f2,1.5,2024
ssp119,UKESM1-0-LL,r2i1p1f2,1.5,2025
ssp119,UKESM1-0-LL,r3i1p1f2,1.5,2023
ssp119,UKESM1-0-LL,r4i1p1f2,1.5,2026
ssp119,UKESM1-0-LL,r8i1p1f2,1.5,2021
ssp119,UKESM1-0-LL,ens-mean,1.5,2024
ssp119,multimodel-mean,multi-ens-mean,1.5,2033
ssp245,BCC-CSM2-MR,r1i1p1f1,1.5,2035
ssp245,BCC-CSM2-MR,ens-mean,1.5,2035
ssp245,CanESM5,r1i1p2f1,1.5,2010
ssp245,CanESM5,r2i1p2f1,1.5,2010
ssp245,CanESM5,r3i1p2f1,1.5,2010
ssp245,CanESM5,r4i1p2f1,1.5,2010
ssp245,CanESM5,r5i1p2f1,1.5,2010
ssp245,CanESM5,ens-mean,1.5,2010
ssp245,CNRM-CM6-1,r1i1p1f2,1.5,2031
