Con,type,x,y
1,1,0.48899755,385.97562
1,1,0.5378973,424.39026
1,1,0.5378973,464.63416
1,1,0.5378973,647.561
1,3,2.4694376,539.63416
1,1,0.7090465,272.56097
1,1,1.8581907,570.7317
1,3,2.5183375,647.561
1,3,3.1051345,651.2195
1,3,6.601467,759.14636
1,1,0.83129585,356.7073
1,1,1.0513448,362.19513
1,1,0.9290953,376.82925
1,1,0.6845966,404.26828
1,2,0.8801956,471.95123
1,2,1.2958435,616.46344
1,2,1.0513448,642.0732
2,1,0.2200489,43.90244
2,1,0.5378973,76.82927
2,1,1.5158924,212.19513
2,1,2.1515892,252.43903
2,3,10.831296,411.58536
2,3,8.655256,404.26828
2,3,15.452323,473.7805
2,3,12.200489,751.8293
2,1,1.2224939,153.65854
2,1,2.0782397,217.68292
2,1,1.002445,166.46341
2,2,2.836186,358.5366
2,2,6.968215,466.4634
